BMS ID #,GDSN name,GDSN definition,Business name,Business definition,Example,Usage Statement,Global Data Model attribute,Last Update ADB Release #,xPath,Cardinality,Length,DataType
789,consumerStorageInstructions,"Expresses in text the consumer storage instructions of a product which are normally held on the label or accompanying the product. This information may or may not be labeled on the pack. Instructions may refer to a suggested storage temperature, a specific storage requirement.",Consumer Storage Instructions ,The instructions and information provided to the consumer about proper storage for the product.,"• Refrigerate after opening
• Keep out of direct sunlight","Used to provide instructions and information to the consumer about the proper storage of the product for safety, quality, or taste.",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:consumer_instructions:xsd:3' and local-name()='consumerInstructionsModule']/consumerInstructions/consumerStorageInstructions,0..*,1..5000 ,Description5000
791,consumerUsageInstructions,"Expresses in text the consumer usage instructions of a product which are normally held on the label or accompanying the product. This information may or may not be labeled on the pack. Instructions may refer to a the how the consumer is to use the product, This does not include storage, food preparations, and drug dosage and preparation instructions.",Consumer Usage Instructions,The instructions and information provided to the consumer on the usage of the product.,"• For cleansing products: wash face and apply to skin
• For food: best served chilled",Used to provide instructions and information to the consumer about the recommended use of the product. May be used to provide serving suggestions for food.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:consumer_instructions:xsd:3' and local-name()='consumerInstructionsModule']/consumerInstructions/consumerUsageInstructions,0..*,1..5000 ,Description5000
795,consumerAssemblyInstructions,The instructions on how to assemble the trade item.,Assembly Instructions,The instructions on how to assemble the product for final consumer usage.,Text instructions on how to assemble a product.,"Used by the buyer's customer service to answer questions about product assembly and to assemble the product for the consumer.
Used by the consumer to assemble the product.",N,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:consumer_instructions:xsd:3' and local-name()='consumerInstructionsModule']/consumerInstructions/consumerAssemblyInstructions,0..*,1..5000 ,Description5000
879,fatInMilkContent,The percentage of fat contained in milk content of the product.,Percent of Milk Fat In Dairy,The percentage of milk fat contained in the milk portion of the dairy product.,"Image of:
• different sized milk containers showing the percent of milk fat in each.
• yogurt container showing the percent of milk fat.","Used by the buyer for assortment planning.

Used by the consumer for search and discovery.",Y,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:dairy_fish_meat_poultry:xsd:3' and local-name()='dairyFishMeatPoultryItemModule']/dairyFishMeatPoultryInformation/fatInMilkContent,0..1,1..70 {30.39},decimal
880,isHomogenised,The indication whether or not the milk used was actively homogenised. The homogenisation of milk is a technical process in the dairy. The milk fat is milled to such an extent that further creaming is prevented.,Homogenised Indicator,The indicator specifying whether or not the milk used is homogenised. The homogenisation of milk is a technical process in the dairy business. The milk fat is milled to such an extent that further creaming is prevented.,"Image of a milk container showing that it is homogenised on the package.
","Used by the buyer for assortment planning.

Used by the consumer for search and discovery.",N,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:dairy_fish_meat_poultry:xsd:3' and local-name()='dairyFishMeatPoultryItemModule']/dairyFishMeatPoultryInformation/isHomogenised,0..1,1..80 ,NonBinaryLogicEnumeration
893,fatPercentageInDryMatter,The amount of fat contained in the base product expressed in percentage,Percent of Fat In Cheese,The percentage of fat in the dry matter of a cheese product. Dry matter is the content of a product after all fluids are removed.,Image of a cheese product showing the percentage of fat.,"Used by the buyer for assortment planning.

Used by the consumer for search and discovery.",N,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:dairy_fish_meat_poultry:xsd:3' and local-name()='dairyFishMeatPoultryItemModule']/dairyFishMeatPoultryInformation/cheeseInformation/fatPercentageInDryMatter,0..1,1..70 {30.39},decimal
912,speciesForFisheryStatisticsPurposesName,The scientific name associated with the speciesforFisheryStatisticsPurposesCode.,Fish Scientific Name,The scientific name of fish and seafood products.,Scientific name for Atlantic cod is Gadus morhua. ,"Used by the buyer to communicate to the consumer the scientific name of the fish and seafood (in EU legally required).

Used for reporting to authorities.
",Y,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:dairy_fish_meat_poultry:xsd:3' and local-name()='dairyFishMeatPoultryItemModule']/dairyFishMeatPoultryInformation/fishReportingInformation/speciesForFisheryStatisticsPurposesName,0..1,unbounded {1..500},string
914,catchMethodCode,The code indicating what type of fishing gear was used to catch fish and seafood.,Fishing Gear Code,The code indicating what type of fishing gear was used to catch fish and seafood.,"Legally required codes:
• Code 04 for Dredges
• Code 08 for Traps

Additional voluntary codes:
• Code DRB for Boat dredges
• Code DRH for Hand dredges
• GILLNETS_PELAGIC for Gillnets: Set (anchored) gillnets: pelagic gillnets","Used by the buyer to communicate to the consumer the gear used to catch fish and seafood (in EU legally required). Codes specified by FAO (Fisheries and Aquaculture Department of the Food and Agriculture Organization of the United Nations) and WWF (World Wide Fund For Nature) are accepted designations for wild catch fishing gear.

Used for reporting to authorities.",Y,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:dairy_fish_meat_poultry:xsd:3' and local-name()='dairyFishMeatPoultryItemModule']/dairyFishMeatPoultryInformation/fishReportingInformation/fishCatchInformation/catchMethodCode,0..*,1..80 ,CatchMethodCode
915,productionMethodForFishAndSeaFoodCode,The code indicating how the fish and seafood were grown and harvested or caught.,Fish Production Method Code,The code indicating how the fish and seafood were grown and harvested or caught.,"• AQUACULTURE
• INLAND_FISHERY
• MARINE_FISHERY

Additional voluntary code:
• AQUACULTURE_PONDS_EXTENSIVE for Aquaculture ponds - extensive production","Used by the buyer to communicate to the consumer the production method of fish and seafood (in EU legally required), as well as the aquaculture production system beyond the legally required information. Codes specified by FAO (Fisheries and Aquaculture Department of the Food and Agriculture Organization of the United Nations) and WWF (World Wide Fund For Nature) are accepted designations for fish and seafood production methods and aquaculture production systems.

Used for reporting to authorities.",Y,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:dairy_fish_meat_poultry:xsd:3' and local-name()='dairyFishMeatPoultryItemModule']/dairyFishMeatPoultryInformation/fishReportingInformation/fishCatchInformation/productionMethodForFishAndSeaFoodCode,0..1,1..80 ,ProductionMethodForFishAndSeaFoodCode
916,storageStateCode,A code depicting that the referred product was previously frozen or not.,Fish Storage State Code,The code indicating whether the fish was previously frozen or not.,"Code value PREVIOUSLY_FROZEN with an image of a thawed fish including a label that indicates the fish was previously frozen.
",Used by the buyer and the consumer to know whether fish can be re-frozen after purchase.,Y,1.6,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:dairy_fish_meat_poultry:xsd:3' and local-name()='dairyFishMeatPoultryItemModule']/dairyFishMeatPoultryInformation/fishReportingInformation/fishCatchInformation/storageStateCode,0..1,1..80 ,StorageStateCode
986,dangerousHazardousLabelNumber,"A visible number indicating the specific risk and thus the required precautions associated with a dangerous or hazardous good for example, the indication of the hazardous label number according to chapter 3.2, table A of the ADR.",Hazardous Label Number,The visible number indicating the specific risk and precaution associated with dangerous goods.,"2.1 Flammable gases
2.2 Non flammable, non-toxic gases","Used to communicate the visible number(s) on the transport vehicle that specify the risks to health, safety, property or the environment. Used in conjunction with the  Hazardous Label Sequence Number.",N,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:dangerous_substance_information:xsd:3' and local-name()='dangerousSubstanceInformationModule']/dangerousSubstanceInformation/dangerousSubstanceProperties/dangerousHazardousLabel/dangerousHazardousLabelNumber,1..1,unbounded {1..35},string
987,dangerousHazardousLabelSequenceNumber,"A sequence number indicating the primacy of one dangerous/hazardous label number over another. For example, a value of 1 would indicate that the associated hazard label number is the primary, 2 = secondary, etc.",Hazardous Label Sequence Number,The sequence number indicating the level of danger represented by the Hazardous Label Number.,"A value of 1 would indicate that the associated hazard label number is the primary danger, 2 = secondary danger, etc.",Used by the seller to describe to the buyer the level and order of dangerous/hazardous label number for the purpose of transporting. Used in conjunction with the Hazardous Label Number.,N,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:dangerous_substance_information:xsd:3' and local-name()='dangerousSubstanceInformationModule']/dangerousSubstanceInformation/dangerousSubstanceProperties/dangerousHazardousLabel/dangerousHazardousLabelSequenceNumber,0..1,1..70 ,nonNegativeInteger
1001,consumerFirstAvailabilityDateTime,The first date/time that the buyer is allowed to sell the trade item to consumers. Usually related to a specific geography. ISO 8601 date format CCYY-MM-DDTHH:MM:SS.,Consumer Sell Date/Time,"The date/time when the product can first be sold to or ordered by the consumer.
","•  A cell phone manufacturer sets the date/time for the sale of a new cell phone to the public.  This date/time is the Consumer Sell Date and is when retailers can publish details about the phone on their website and begin to take orders.  The phone is not available for delivery or physical pick-up until a later date/time, which is the Consumer Restricted Delivery Date/Time.
•  A seller is releasing a new potato chip and the seller has a promotional announcement to the public introducing the product on the same day the product is available for purchase by the consumer.  In this scenario, there is no Consumer Restricted Delivery Date/Time.

","Used by the seller to communicate to the buyer when a product can first be sold to or ordered by the consumer. If there is not a Consumer Restricted Delivery Date/Time, this is also the date when the consumer can take physical possession of the product.",N,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:delivery_purchasing_information:xsd:3' and local-name()='deliveryPurchasingInformationModule']/deliveryPurchasingInformation/consumerFirstAvailabilityDateTime,0..1,1..24 ,DateTime
1002,endAvailabilityDateTime,"The date from which the trade item is no longer available from the information provider, including seasonal or temporary trade item and services.",End Availability Date/Time,The date/time when the product is no longer available for order from the seller.,"• Christmas ornament is no longer available to be ordered as of 12-December-2035.
• Wine vintage 1925 is no longer available to be ordered as of 02-May-2019.
• A bonus toothpaste item with a GTIN different from the base item is no longer available to be ordered as of 16-April-2020.
• The brand owner has discontinued Sour Cream and Onion chips. The End Availability Date is 01-Nov-2035.","Used by the seller to communicate to the buyer when a product is no longer available for order, including seasonal trade items. Enables the buyer to manage item life cycle processes.",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:delivery_purchasing_information:xsd:3' and local-name()='deliveryPurchasingInformationModule']/deliveryPurchasingInformation/endAvailabilityDateTime,0..1,1..24 ,DateTime
1007,firstOrderDateTime,Indicates the earliest date that an order can be placed for the trade item.,First Order Date/Time,The earliest date/time an order will be processed for the product.,Orders placed for lamb and rice adult dog food will not be processed before 01-September-2022.,Used by the seller to communicate to the buyer when orders for a product will first be processed.,Y,1.3,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:delivery_purchasing_information:xsd:3' and local-name()='deliveryPurchasingInformationModule']/deliveryPurchasingInformation/firstOrderDateTime,0..1,1..24 ,DateTime
1008,firstShipDateTime,Indicates the earliest date that the trade item can be shipped. This is independent of any specific ship-from location.,First Ship Date/Time (to be deprecated),The date/time the product is first available to ship from the seller or the service is available. Link to First Ship Date/Time.,Skin care lotion is first available to ship on 01-Nov-2035.,Used by the seller to communicate to the buyer when the product is first available to ship or the service is available to begin.,N,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:delivery_purchasing_information:xsd:3' and local-name()='deliveryPurchasingInformationModule']/deliveryPurchasingInformation/firstShipDateTime,0..1,1..24 ,DateTime
1020,orderQuantityMinimum,Represent an agreed to minimum quantity of the trade item that can be ordered. A number or a count. This applies to each individual order. Can be a fixed amount for all customers in a target market.,Minimum Orderable Quantity,The minimum quantity of the product required on a single order by the seller.,"Vendor A has a minimum order requirement of 200 for Item A.

Minimum order quantity could be one pallet or one pallet layer or one master carton or one tray.",Used by the seller and the buyer to ensure that the orders are at sufficient enough level to meet shipping and processing requirements.,N,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:delivery_purchasing_information:xsd:3' and local-name()='deliveryPurchasingInformationModule']/deliveryPurchasingInformation/orderQuantityMinimum,0..1,1..70 ,nonNegativeInteger
1025,startAvailabilityDateTime,"The date (CCYY-MM-DDTHH:MM:SS) from which the trade item becomes available from the supplier, including seasonalor temporary trade item and services.",First Ship Date/Time,The date/time the product is first available to ship from the seller or the service is available.,Skin care lotion is first available to ship on 01-Nov-2035.,Used by the seller to communicate to the buyer when the product is first available to ship or the service is available to begin.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:delivery_purchasing_information:xsd:3' and local-name()='deliveryPurchasingInformationModule']/deliveryPurchasingInformation/startAvailabilityDateTime,0..1,1..24 ,DateTime
1029,consumerFirstDeliveryDate,The first date/time that the buyer is allowed to deliver or ship the trade item to consumers. Usually related to a specific geography.,Consumer Restricted Delivery Date/Time,The date/time when the consumer can first take physical possession of the product when there is a restriction imposed by the seller.,"•  A cell phone manufacturer sets the date/time for the sale of a new cell phone to the public.  This date/time is the Consumer Sell Date and is when retailers can publish details about the phone on their website and begin to take orders.  The phone is not available for delivery or physical pick-up until a later date/time, which is the Consumer Restricted Delivery Date/Time.
•  A seller is releasing a new potato chip and the seller has a promotional announcement to the public introducing the product on the same day the product is available for purchase by the consumer.  In this scenario, there is no Consumer Restricted Delivery Date/Time.","Used by the seller to communicate to the buyer the date/time when the consumer can physically take possession of the product. Online: the buyer ships the product to the consumer and the consumer would expect to receive the product on this date or after. Physical:  the date the consumer could visit a physical site and take possession of the product.
",N,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:delivery_purchasing_information:xsd:3' and local-name()='deliveryPurchasingInformationModule']/deliveryPurchasingInformation/consumerFirstDeliveryDate,0..1,1..24 ,DateTime
1066,dietTypeCode,Code indicating the diet the product is suitable for.,Dietary Regime Code,The code indicating the diet the product is suitable for.  ,"Images of product labels marked with diet types such as Vegan, Halal, Vegetarian","Used by the seller to notify buyers and consumers about the dietary regime that a product may belong to.  This is not an indication of certification and may not appear on the physical product.  It could also be used to market specific products based on dietary regime.

Used by institutions or food service when creating meals, ensuring that the product complies with a dietary regime.
",Y,1.8,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:diet_information:xsd:3' and local-name()='dietInformationModule']/dietInformation/dietTypeInformation/dietTypeCode,1..1,1..80 ,DietTypeCode
1152,dutyFeeTaxTypeCode,Identification of the type of duty or tax or fee applicable to the trade item. This will vary by target market.,Tax Type Code,"The code identifying a specific type of tax, levy, duty or fee associated with the type of product or service.","VAT, Packaging/Recycling Tax, Alcohol Tax","Used to communicate the type of tax, levy, duty or fee applied to the product.
Used to identify the portion of the invoice that is tax.
Used to communicate to the buyer the amount of levy, duty or fee that they will need to pay.
This is a local code list. https://www.gs1.org/standards/gdsn/3-x",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:duty_fee_tax_information:xsd:3' and local-name()='dutyFeeTaxInformationModule']/dutyFeeTaxInformation/dutyFeeTaxTypeCode,1..1,unbounded {1..80},string
1153,dutyFeeTaxTypeDescription,"A description of tax type for example ""Taxes sure les supports audio"".",Tax Type Code Description,"The description of the code that identifies a specific type of tax, levy, duty or fee associated with the type of product or service.","• VAT
• Packaging/Recycling Tax
• Alcohol Tax",Used by the buyer to understand the meaning of the Tax Type Code.,N,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:duty_fee_tax_information:xsd:3' and local-name()='dutyFeeTaxInformationModule']/dutyFeeTaxInformation/dutyFeeTaxTypeDescription,0..*,1..70 ,Description70
1175,dutyFeeTaxCategoryCode,"Depicts the applicability of the tax rate or amount for a trade item for example zero, low or exempt.",Tax Category Code,The code representing the level of tax rate applied by a government to the product.,"• STANDARD
• LOW
• ZERO
• EXEMPT",Used to communicate to the buyer the type of rates for taxes or levies applied to a product or service.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:duty_fee_tax_information:xsd:3' and local-name()='dutyFeeTaxInformationModule']/dutyFeeTaxInformation/dutyFeeTax/dutyFeeTaxCategoryCode,0..1,1..80 ,TaxCategoryCode
1178,dutyFeeTaxRate,The current tax or duty rate percentage applicable to the trade item.,Tax Percentage,"The percentage of tax, levy, duty or fee associated to the type of product.",Show an electronics product with its associated Tax Type Code and Tax Percentage,"Used by the buyer to identify the correct tax percentage applicable to the product.

Used in conjunction with Tax Type Code.",N,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:duty_fee_tax_information:xsd:3' and local-name()='dutyFeeTaxInformationModule']/dutyFeeTaxInformation/dutyFeeTax/dutyFeeTaxRate,0..1,1..70 {30.39},decimal
1246,organicClaimAgencyCode,A Governing body that creates and maintains standards related to organic products.,Organic Claim Agency Code,The governing body that creates and maintains standards related to organic products and/or certifies products as organic.,"An image of a strawberry jam labelled as organic.
Show that the attribute value sent to the buyer is:
Code value 6 (which represents USDA - US Department of Agriculture)

An image of a box of cereal labelled as organic.
Show that the attribute value sent to the buyer is:
Code value 13 (which represents Biopark - organic farmers association located in the north of Germany)",Used by the buyer for verification purposes.,N,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:farming_and_processing_information:xsd:3' and local-name()='farmingAndProcessingInformationModule']/tradeItemOrganicInformation/organicClaim/organicClaimAgencyCode,0..*,1..80 ,OrganicClaimAgencyCode
1248,organicTradeItemCode,Used to indicate the organic status of a trade item or of one or more of its components.,Organic Level Code,The code indicating the organic content of the product.,"• An image of a container of juice, with a code value of 1, and the image depicts ""100% organic"".
• An image of a dog treat, transmitted with code value of 5, and depicts that code value 5 translates to ""Not Organic"".",Used by the buyer to enable search and discovery for the consumer. Used by the buyer for space and assortment planning.  ,N,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:farming_and_processing_information:xsd:3' and local-name()='farmingAndProcessingInformationModule']/tradeItemOrganicInformation/organicClaim/organicTradeItemCode,0..1,1..80 ,OrganicTradeItemCode
1258,geneticallyModifiedDeclarationCode,A statement of the presence or absence of genetically modified protein or DNA.,Genetically Modified Declaration Code,The code indicating the presence or absence of genetically modified protein or DNA (deoxyribonucleic acid) in the product.,"Image of a bottle of milk and the code indicating ""FREE_FROM""",Used by the buyer to communicate to the consumer the GMO (Genetically Modified Organism) declaration of the product.  Used by the buyer in assortment planning.,Y,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:farming_and_processing_information:xsd:3' and local-name()='farmingAndProcessingInformationModule']/tradeItemFarmingAndProcessing/geneticallyModifiedDeclarationCode,0..1,1..80 ,LevelOfContainmentCode
1259,growingMethodCode,"Note: This attribute is being deprecated in a future release. Use growingMethodCode in GrowingMethodInformation class in the same module.  The code indicating how the product has been grown, cultivated, reared and/or raised.",Growing Method Code,"The code indicating how the product has been grown, cultivated, reared and/or raised.","• Carton of eggs with Growing Method Code = CAGE_FREE, indicating the eggs come from a chicken able to move about inside a barn without being confined to cages.
• Package of chicken with Growing Method Code = FREE_RANGE, indicating it comes from a chicken able to access an outdoor area.
• Box of cut flowers with Growing Method Code = COCONUT_HUSK, indicating the flowers are grown in coconut husk chips.
• Tray of tomatoes with Growing Method Code = SUNLIGHT, indicating the plants are grown using natural sunlight (i.e., the solar radiation that is visible at Earth’s surface).","Used by the buyer to communicate to the consumer the growing method of the product. Used by the buyer in assortment planning.

Not used for fish and seafood in EU, rather please reference Fish Production Method Code.",Y,2.11,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:farming_and_processing_information:xsd:3' and local-name()='farmingAndProcessingInformationModule']/tradeItemFarmingAndProcessing/growingMethodCode,0..*,1..80 ,GrowingMethodCode
1268,ingredientStatement,Information on the constituent ingredient make-up of the product as specified.,Ingredient Statement ,The composition of the product that matches what appears on the package.,Full ingredient list for food which appears as it does on the product package.,Used to indicate to the consumer the composition of the product that may include allergens and contaminations.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:food_and_beverage_ingredient:xsd:3' and local-name()='foodAndBeverageIngredientModule']/ingredientStatement,0..*,1..5000 ,FormattedDescription5000
1270,juiceContentPercent,The fruit juice content of the trade item expressed as a percentage.,Percent of Fruit and/or Vegetable Juice,"The amount of fruit and/or vegetable juice contained in the product, expressed as a percentage of the total volume.","• For a bottle of fruit juice showing the product contains 100% juice on the package:
Percent of Fruit and/or Vegetable Juice = 100

• For a frozen novelty bar showing the product contains 65% juice on the package:
Percent of Fruit and/or Vegetable Juice = 65
 
• For a container of mixed organic carrot and apple juices showing the product contains 83% juice on the package:
Percent of Fruit and/or Vegetable Juice = 83","Used by the buyer for assortment planning.
Used by the consumer for search and discovery.",Y,2.11,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:food_and_beverage_ingredient:xsd:3' and local-name()='foodAndBeverageIngredientModule']/juiceContentPercent,0..1,1..70 {30.39},decimal
1272,additiveName,The name of any additive or genetic modification contained or not contained in the trade item.,Additive Name,The name of an additive that is or may be contained in the product.,"Image of a product showing the additive ""Natural Flavouring"" on the package.

Provide an example of a product containing multiple additives.","Used by the consumer for search and discovery.

Used in conjunction with Additive Containment Code. May also be used with additiveTypeCodeReference (GDD name).",Y,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:food_and_beverage_ingredient:xsd:3' and local-name()='foodAndBeverageIngredientModule']/additiveInformation/additiveName,1..1,unbounded {1..200},string
1273,levelOfContainmentCode,Code indicating the level of presence of the additive.,Additive Containment Code,The code to indicate the precision of an additive in the product.,"An image of a product containing an additive(s) 
•  Contains","Used to communicate to the consumer and the buyer the additive containment status.

Used in conjunction with Additive Name. May also be used with additiveTypeCodeReference (GDD name).",Y,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:food_and_beverage_ingredient:xsd:3' and local-name()='foodAndBeverageIngredientModule']/additiveInformation/levelOfContainmentCode,1..1,1..80 ,LevelOfContainmentCode
1283,grapeVarietyCode,The vine variety used for the production of this wine for example Merlot expressed as a code.,Grape Variety Code,The code indicating the grape variety used to produce this wine. Please refer to any local regulation requirements.,"• MERLOT
• SAUVIGNON_BLANC
• SHIRAZ","Used by the consumer for search and discovery.

Used by restaurants/menu planners for pairing alcohol with food.

Used by the buyer for assortment planning and shelf placement.",N,2.2,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:food_and_beverage_ingredient:xsd:3' and local-name()='foodAndBeverageIngredientModule']/foodAndBeverageIngredient/grapeVarietyCode,0..*,1..80 ,GrapeVarietyCode
1285,ingredientName,"Text field indicating one ingredient or ingredient group (according to regulations of the target market). Ingredients include any additives (colorings, preservatives, e-numbers, etc) that are encompassed.",Ingredient,A single ingredient or a complex ingredient that is taken from the Ingredient Statement.,"* See sample ingredient list images in separate tab
","Used by the buyer, in conjunction with the Ingredient Sequence on Package, to digitally recreate the list of ingredients in the correct sequence.",N,1.3,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:food_and_beverage_ingredient:xsd:3' and local-name()='foodAndBeverageIngredientModule']/foodAndBeverageIngredient/ingredientName,0..*,1..70 ,Description70
